	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__c	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.24152803421020508	0.022226542802220108	0.0016211986541748047	7.238969163851744e-05	[0.0007, 0.0007, 0.04]	{'estimator__c': [0.0007, 0.0007, 0.04]}	0.02249155740832139	-0.027179314405289538	0.017702208042502707	-0.002663074664948134	-0.0013140879520387126	0.0018074576857095425	0.017609302843452225	1
1	0.22964811325073242	0.0037607739536910665	0.0017621994018554687	0.00020398040278820484	[0.0007, 0.0008, 0.04]	{'estimator__c': [0.0007, 0.0008, 0.04]}	0.022491533282636807	-0.027179390325297415	0.017702210847996197	-0.0026630571893481642	-0.0013141288856668824	0.0018074335460641084	0.017609323240661112	2
2	0.23665275573730468	0.019388940684030128	0.0016875743865966796	0.00011020504176932974	[0.0007, 0.0009, 0.04]	{'estimator__c': [0.0007, 0.0009, 0.04]}	0.022491509157078576	-0.027179466244970998	0.017702213653446024	-0.002663039713756673	-0.001314169819056581	0.0018074094065480696	0.017609343637811664	3
3	0.22968697547912598	0.0021154117102913554	0.0017756938934326172	0.00035457293020117704	[0.0007, 0.001, 0.04]	{'estimator__c': [0.0007, 0.001, 0.04]}	0.02249148503164646	-0.027179542164310188	0.017702216458852695	-0.002663022238173602	-0.0013142107522079137	0.00180738526716149	0.01760936403490388	4
4	0.22888245582580566	0.0030317247930075936	0.0018460273742675782	0.00025163123792416815	[0.0008, 0.0007, 0.04]	{'estimator__c': [0.0008, 0.0007, 0.04]}	0.022484348001167994	-0.02718324398012258	0.01769855923423366	-0.0026570244385269643	-0.0013109617429945854	0.001806335414751505	0.017607826775009872	5
5	0.22803115844726562	0.0012203641417084185	0.0020099639892578124	0.0007465840101683631	[0.0008, 0.0008, 0.04]	{'estimator__c': [0.0008, 0.0008, 0.04]}	0.02248432388465335	-0.027183319895556123	0.017698562049096936	-0.0026570069555456807	-0.0013110026787903743	0.0018063112807716216	0.01760784717942693	6
6	0.24096922874450682	0.018715225360513187	0.001951456069946289	0.0006177892174083975	[0.0008, 0.0009, 0.04]	{'estimator__c': [0.0008, 0.0009, 0.04]}	0.02248429976826499	-0.027183395810655254	0.017698564863916705	-0.0026569894725725885	-0.0013110436143476817	0.001806287146921234	0.01760786758378559	7
7	0.230856990814209	0.003727400952676794	0.0017147541046142578	0.0003278206183323238	[0.0008, 0.001, 0.04]	{'estimator__c': [0.0008, 0.001, 0.04]}	0.02248427565200289	-0.027183471725420228	0.017698567678692805	-0.0026569719896078945	-0.0013110845496664438	0.0018062630132002259	0.017607887988085907	8
8	0.23096079826354982	0.0035199390106436493	0.0016301631927490234	0.00012215006354024597	[0.0009, 0.0007, 0.04]	{'estimator__c': [0.0009, 0.0007, 0.04]}	0.022477135719621493	-0.027187172865286154	0.017694912115998582	-0.0026509774478419034	-0.0013078332612268238	0.0018052128522530388	0.017606351441548526	9
9	0.22967061996459961	0.0037326854549602864	0.001699352264404297	0.00033527761692139866	[0.0009, 0.0008, 0.04]	{'estimator__c': [0.0009, 0.0008, 0.04]}	0.02247711161227882	-0.027187248776146613	0.01769491494023166	-0.0026509599574798524	-0.0013078741991871072	0.0018051887239393812	0.017606371853171963	10
10	0.23698272705078124	0.01646153094676817	0.0015599250793457032	3.854348814249254e-05	[0.0009, 0.0009, 0.04]	{'estimator__c': [0.0009, 0.0009, 0.04]}	0.02247708750506193	-0.027187324686672978	0.017694917764421086	-0.002650942467126225	-0.0013079151369090197	0.0018051645957549585	0.01760639226473696	11
11	0.23101582527160644	0.004850670764619899	0.0018764019012451171	0.0003678861995752841	[0.0009, 0.001, 0.04]	{'estimator__c': [0.0009, 0.001, 0.04]}	0.022477063397971217	-0.027187400596865186	0.017694920588566948	-0.002650924976781009	-0.0013079560743923906	0.001805140467699916	0.017606412676243594	12
12	0.22677936553955078	0.0019603971782589944	0.0015108585357666016	6.555583194640264e-05	[0.001, 0.0007, 0.04]	{'estimator__c': [0.001, 0.0007, 0.04]}	0.022469920564597696	-0.02719110106007705	0.01769126668939242	-0.0026449336940557017	-0.0013047025069464538	0.0018040899985821818	0.017604876843514253	13
13	0.22475910186767578	0.0009502700843736367	0.0015463829040527344	3.273201427789786e-05	[0.001, 0.0008, 0.04]	{'estimator__c': [0.001, 0.0008, 0.04]}	0.02246989646642822	-0.02719117696636623	0.017691269522995264	-0.0026449161963137714	-0.0013047434470684037	0.0018040658759350154	0.017604897262342288	14
14	0.22657861709594726	0.0011959391020163277	0.0017693519592285156	0.00040119573257968655	[0.001, 0.0009, 0.04]	{'estimator__c': [0.001, 0.0009, 0.04]}	0.022469872368384634	-0.027191252872321423	0.017691272356554176	-0.002644898698580716	-0.001304784386951879	0.0018040417534169587	0.017604917681111887	15
15	0.23691864013671876	0.019267773748233474	0.0014704227447509765	3.6155012135852865e-05	[0.001, 0.001, 0.04]	{'estimator__c': [0.001, 0.001, 0.04]}	0.022469848270467132	-0.027191328777942312	0.017691275190069765	-0.0026448812008560154	-0.0013048253265968573	0.0018040176310283422	0.01760493809982308	16
